MONTH,CAB,CANCEL NOTA,DOUBLE INPUT,TIDAK ADA INVOICE OJOL,TIDAK ADA INVOICE QRIS,SELISIH,TOTAL
01-Dec-24,BDGGAT,256504,149503,215501,337500,702504,959008
01-Dec-24,BDGNAS,99501,0,497519,31000,528519,628020
01-Dec-24,BDGPAS,30002,54001,96502,717000,867503,897505
01-Dec-24,BDGUKU,336009,0,121502,55000,176502,512511
01-Dec-24,BGRPAD,46003,239500,69003,27000,335503,381506
01-Dec-24,BGRSAP,162011,249008,0,538500,787508,949519
01-Dec-24,BKSGOL,929517,208501,313507,139500,661508,1591025
01-Dec-24,BKSJAT,2034055,506505,184012,400500,1091017,3125072
01-Dec-24,BKSJUA,886037,535508,1902097,0,2437605,3323642
01-Dec-24,BKSWIB,948545,0,33000,78500,111500,1060045
01-Dec-24,BTUSUP,0,0,343551,0,343551,343551
01-Dec-24,CBIMAY,177009,300503,0,5000,305503,482512
01-Dec-24,CBITEG,324506,166003,463513,537500,1167016,1491522
01-Dec-24,CJRSUR,354005,38002,86004,45000,169006,523011
01-Dec-24,CKGINT,651008,76000,98506,442500,617006,1268014
01-Dec-24,CKGPAH,724506,150500,83001,138000,371501,1096007
01-Dec-24,CKRTHA,3085579,602514,1004544,604500,2211558,5297137
01-Dec-24,CMHAMI,185508,310002,43003,92000,445005,630513
01-Dec-24,CMHBAR,335504,676008,553021,95500,1324529,1660033
01-Dec-24,CPTALA,376012,1000,66502,518000,585502,961514
01-Dec-24,DPKJAS,229008,1187519,4154646,3343500,8685665,8914673
01-Dec-24,DPKMAR,378511,91001,302510,587500,981011,1359522
01-Dec-24,DPKSAW,221014,722507,58501,86500,867508,1088522
01-Dec-24,GGPDAA,2696062,731006,1927604,390000,3048610,5744672
01-Dec-24,KDRURI,0,51000,250501,2000,303501,303501
01-Dec-24,KLNKUS,167505,0,0,72000,72000,239505
01-Dec-24,KWGGAL,181011,0,136003,0,136003,317014
01-Dec-24,KYBKEM,944012,0,0,71000,71000,1015012
01-Dec-24,KYBTEB,7480277,1451053,1579577,75500,3106130,10586407
01-Dec-24,MJLABD,42500,0,52001,0,52001,94501
01-Dec-24,MKSPET,826029,123000,239507,224500,587007,1413036
01-Dec-24,MKSRAT,356514,0,340012,110500,450512,807026
01-Dec-24,MKSTUN,84000,0,0,9000,9000,93000
01-Dec-24,MLGSUP,368001,0,279003,114000,393003,761004
01-Dec-24,PWTSOE,1454537,161506,103503,233000,498009,1952546
01-Dec-24,SBRTUP,38000,88000,131501,106000,325501,363501
01-Dec-24,SBYAMB,1229046,753535,417016,102000,1272551,2501597
01-Dec-24,SBYSOE,320500,112000,370001,0,482001,802501
01-Dec-24,SDATAM,84003,143005,245009,556500,944514,1028517
01-Dec-24,SKTADI,396008,56001,30001,341000,427002,823010
01-Dec-24,SMGSUD,890045,556025,406511,416000,1378536,2268581
01-Dec-24,SMNMAG,438023,65502,160002,75500,301004,739027
01-Dec-24,SMRYAM,1763077,164000,601134,45500,810634,2573711
01-Dec-24,SORBOJ,780007,144500,420080,227000,791580,1571587
01-Dec-24,SORTAM,75501,0,57001,60500,117501,193002
01-Dec-24,TJPDAN,130506,1036509,694032,384500,2115041,2245547
01-Dec-24,TNGMER,535027,0,222492,1026500,1248992,1784019
01-Dec-24,YYKSON,1042045,375516,145002,260000,780518,1822563
01-Dec-24,YYKTAM,811511,1376053,318511,923000,2617564,3429075
01-Jan-25,BDGBUA,282015,1209515,395515,145500,1750530,2032545
01-Jan-25,KWGTEL,30000,45000,332000,72000,449000,479000
01-Jan-25,KWGTUP,393526,66000,167006,2630000,2863006,3256532
01-Jan-25,KYBCIL,539500,344500,48000,270000,662500,1202000
01-Jan-25,KYBKEM,1107000,496000,967000,179500,1642500,2749500
01-Jan-25,KYBTEB,4321621,1423019,2053078,0,3476097,7797718
01-Jan-25,MKSPER,1624000,631500,410008,467500,1509008,3133008
01-Jan-25,MKSPET,2497005,422000,749000,60500,1231500,3728505
01-Jan-25,MKSPOR,388633,321000,1276000,31500,1628500,2017133
01-Jan-25,MLGSUP,634500,156500,554000,90000,800500,1435000
01-Jan-25,MLGTLO,1636071,363016,738532,55000,1156548,2792619
01-Jan-25,NPHCIB,0,135500,0,0,135500,135500
01-Jan-25,SBYMAN,499525,0,113504,0,113504,613029
01-Jan-25,SBYMAR,74504,51501,29002,54000,134503,209007
01-Jan-25,SMRAHM,4845000,2849000,3292512,75000,6216512,11061512
01-Jan-25,SMRYAM,0,505000,865508,272500,1643008,1643008
01-Jan-25,SNGKAR,1217000,797500,1958509,206000,2962009,4179009
01-Jan-25,SORTAM,365503,61500,0,152000,213500,579003
01-Jan-25,TGLSUD,0,1145000,1796502,118000,3059502,3059502
01-Jan-25,TGRHAR,221000,1295509,921004,1232000,3448513,3669513
01-Jan-25,TGRKUT,735000,573008,1521009,546500,2640517,3375517
01-Jan-25,TJPDAN,1079506,586500,1525035,94000,2205535,3285041
01-Jan-25,KWGGAL,398512,0,0,0,0,398512
01-Jan-25,KDRURI,185003,0,0,40000,40000,225003
01-Jan-25,JMRSUM,775526,382019,759510,21000,1162529,1938055
01-Jan-25,IDMPAN,0,497000,2152000,277000,2926000,2926000
01-Jan-25,BDGSUM,211005,153005,0,22000,175005,386010
01-Jan-25,BDGTER,82500,0,100134,23000,123134,205634
01-Jan-25,BGRBAT,0,180011,0,0,180011,180011
01-Jan-25,BGRSHO,0,207504,66000,34500,308004,308004
01-Jan-25,BKSBAN,972017,228004,508033,0,736037,1708054
01-Jan-25,BKSJUA,2527112,685006,1089557,66000,1840563,4367675
01-Jan-25,BKSWIB,529517,0,170512,88000,258512,788029
01-Jan-25,BONIMA,2707512,173000,276000,0,449000,3156512
01-Jan-25,BPPHAR,1395500,2429000,1533790,353500,4316290,5711790
01-Jan-25,BPPMUL,402000,240500,256006,501500,998006,1400006
01-Jan-25,TNACEM,3950095,289004,540002,17500,846506,4796601
01-Jan-25,CKGINT,1111502,841008,896000,234500,1971508,3083010
01-Jan-25,CKGPUL,236000,89000,446500,348500,884000,1120000
01-Jan-25,CKRTHA,2310060,556508,1205030,337500,2099038,4409098
01-Jan-25,CMHAMI,359008,353004,718527,175500,1247031,1606039
01-Jan-25,CPTPON,236000,157500,0,0,157500,393500
01-Jan-25,CPTPUS,301011,138002,1319068,564500,2021570,2322581
01-Jan-25,CPTSET,0,724000,246004,0,970004,970004
01-Jan-25,DPKJAS,931013,465004,80002,247000,792006,1723019
01-Jan-25,DPKMAR,296507,450509,799518,412000,1662027,1958534
01-Jan-25,GGPJAT,1112000,372500,420011,675500,1468011,2580011
01-Jan-25,GGPPAN,255500,1537502,1251010,898500,3687012,3942512
01-Jan-25,CKGPAH,993002,482018,179500,230000,891518,1884520
01-Jan-25,TNAMAN,4223162,1135027,1469551,106000,2710578,6933740
