Nama Cabang,Nomor #,Tanggal,Kode Barang,Nama Barang,Nama Gudang,Akun Penyesuaian Persediaan,Tipe Penyesuaian,Kuantitas,Total Biaya
1214.BKSPEK,IA.2024.12.00011,01/12/2024,200469,GILINGAN DAGING,1214.1-G.Bekasi - Raya Pekayon (BKSPEK),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,7344723.298982
1215.PMLSUD,IA.2024.12.00013,01/12/2024,200469,GILINGAN DAGING,1215.1-G.Pemalang - Jendral Sudirman (PMLSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,7344723.298982
1218.BKLNAS,IA.2024.12.00014,01/12/2024,200469,GILINGAN DAGING,1218.1-G.Bangkalan - Nasional (BKLNAS),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,7344723.298982
1221.TNAPRO,IA.2024.12.00010,01/12/2024,200469,GILINGAN DAGING,1221.1-G.Jakpus - Proklamasi (TNAPRO),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,7344723.298982
1230.IDMPAN,IA.2024.12.00012,01/12/2024,200469,GILINGAN DAGING,1230.1-G.Indramayu - Di Panjaitan (IDMPAN),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,7344723.298982
1228.CBIPUN,IA.2024.12.00021,07/12/2024,200469,GILINGAN DAGING,1228.1-G.Bogor - Raya Puncak Gadog (CBIPUN),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,7344723.298982
1037.SBYMAN,IA.2024.12.00025,09/12/2024,200469,GILINGAN DAGING,1037.1-G.Surabaya - Manyar (SBYMAN),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,3672361.649491
1131.SBYBUN,IA.2024.12.00029,09/12/2024,200469,GILINGAN DAGING,1131.1-G.Surabaya - Bung Tomo (SBYBUN),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,3672361.649491
1151.GGPDAA,IA.2024.12.00019,09/12/2024,200469,GILINGAN DAGING,1151.1-G.Jakbar - Raya Daan Mogot (GGPDAA),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,3672361.649491
1226.CKGPUL,IA.2024.12.00023,09/12/2024,200469,GILINGAN DAGING,1226.1-G.Jaktim - Raya Pulo Gebang (CKGPUL),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,7344723.298982
1232.BONIMA,IA.2024.12.00018,09/12/2024,200469,GILINGAN DAGING,1232.1-G.Bontang - Imam Bonjol (BONIMA),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,7344723.298982
1233.BKSSUD,IA.2024.12.00022,09/12/2024,200469,GILINGAN DAGING,1233.1-G.Bekasi - Jendral Sudirman (BKSSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,7344723.298982
1001.TLGTEU,IA.2024.12.00562,31/12/2024,200065,EROS STAINLESS UK BESAR,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,44998.916129
1001.TLGTEU,IA.2024.12.00562,31/12/2024,200325,SEAL PACK 3.5 LTR/3500 ML,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,7.0,140281.96126
1001.TLGTEU,IA.2024.12.00562,31/12/2024,200184,TOPLES UK 18 LTR,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,8.0,384000.0
1001.TLGTEU,IA.2024.12.00562,31/12/2024,200142,SARINGAN MIE,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,437183.60085
1001.TLGTEU,IA.2024.12.00562,31/12/2024,200329,SEAL PACK DIMSUM,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,8.0,272309.090904
1001.TLGTEU,IA.2024.12.00562,31/12/2024,200187,TOPLES UK 9 LTR,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,149999.999995
1002.MADSAP,IA.2024.12.00115,31/12/2024,200245,KNOP BOILER/WATER TAP HEAD,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,107551.333378
1002.MADSAP,IA.2024.12.00115,31/12/2024,200451,THERMOCOUPLE,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,4.0,557001.89528
1002.MADSAP,IA.2024.12.00115,31/12/2024,200694,KIT REPLACEMENT NEW BURNER FOR NGN 16 MR (9 ROW),1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,1072461.5625
1002.MADSAP,IA.2024.12.00115,31/12/2024,200083,GELAS TEA,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,100.0,515143.9925
1002.MADSAP,IA.2024.12.00115,31/12/2024,200142,SARINGAN MIE,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,12.0,874367.2017
1002.MADSAP,IA.2024.12.00115,31/12/2024,200224,BURNER GS UK 9 NP,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,5618311.394757
1002.MADSAP,IA.2024.12.00115,31/12/2024,200233,KIT REPLACEMENT GAS VALVE EGFT 6-60 CS.0050K,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,1833976.882352
1002.MADSAP,IA.2024.12.00115,31/12/2024,200105,PANCI DANDANG DIMSUM UK 36,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,464999.998839
1002.MADSAP,IA.2024.12.00115,31/12/2024,200072,GAS THERMOSTAT,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,4395012.56
1002.MADSAP,IA.2024.12.00115,31/12/2024,200676,REGULATOR LOW PRESSURE,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,4.0,1280000.0
1002.MADSAP,IA.2024.12.00115,31/12/2024,200384,KABEL ELEKTRODA,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,4.0,647064.597444
1002.MADSAP,IA.2024.12.00115,31/12/2024,200237,GAS KNOP DIA 8 MM W,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,211056.04011
1002.MADSAP,IA.2024.12.00115,31/12/2024,200242,GAS VALVE HP DOUBLE TURBO,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,372000.0
1002.MADSAP,IA.2024.12.00115,31/12/2024,200256,PIEZO IGNITER UK 18.MM,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,4.0,295611.141448
1002.MADSAP,IA.2024.12.00115,31/12/2024,200182,TIMER DIGITAL,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,49474.654383
1002.MADSAP,IA.2024.12.00115,31/12/2024,200238,GAS KNOP F/JP SERIES,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,175832.433462
1002.MADSAP,IA.2024.12.00115,31/12/2024,200220,BLACK BUTTON COVER F/ PIEZO IGNITER,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,70303.726533
1002.MADSAP,IA.2024.12.00115,31/12/2024,200712,KLAKAT PREMIUM,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,30.0,476036.65509
1002.MADSAP,IA.2024.12.00115,31/12/2024,200108,PANCI MIE,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,7.0,490302.622957
1002.MADSAP,IA.2024.12.00115,31/12/2024,200037,"THERMOCOUPLE 2C 24"" GS 2185 (GRIDLE)",1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,146369.628196
1002.MADSAP,IA.2024.12.00115,31/12/2024,200272,SAFETY GAS VALVE WITH INLET BRACKET&SREW,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,1606444.407692
1003.MJKSUD,IA.2024.12.00275,31/12/2024,200185,TOPLES UK 4 LTR,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,109999.993655
1003.MJKSUD,IA.2024.12.00275,31/12/2024,200083,GELAS TEA,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,20.0,103028.7985
1003.MJKSUD,IA.2024.12.00275,31/12/2024,200157,SEROK BESAR KAWAT,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,80000.0
1003.MJKSUD,IA.2024.12.00275,31/12/2024,200108,PANCI MIE,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,12.0,840518.782212
1003.MJKSUD,IA.2024.12.00275,31/12/2024,200142,SARINGAN MIE,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,437183.60085
1003.MJKSUD,IA.2024.12.00275,31/12/2024,200192,WAJAN BESI UK 70',1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,299993.106884
1003.MJKSUD,IA.2024.12.00275,31/12/2024,200184,TOPLES UK 18 LTR,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,240000.0
1003.MJKSUD,IA.2024.12.00275,31/12/2024,200187,TOPLES UK 9 LTR,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,89999.999997
1003.MJKSUD,IA.2024.12.00275,31/12/2024,200326,SEAL PACK POWDER,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,48016.254477
1003.MJKSUD,IA.2024.12.00275,31/12/2024,200167,STIK DRUM,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,22000.0
1003.MJKSUD,IA.2024.12.00275,31/12/2024,200593,TIMBANGAN DIGITAL FORTUNO 30 KG,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,708961.179202
1004.KDRJOY,IA.2024.12.00240,31/12/2024,200187,TOPLES UK 9 LTR,1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,149999.999995
1004.KDRJOY,IA.2024.12.00240,31/12/2024,200329,SEAL PACK DIMSUM,1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,170193.181815
1004.KDRJOY,IA.2024.12.00240,31/12/2024,200184,TOPLES UK 18 LTR,1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,240000.0
1004.KDRJOY,IA.2024.12.00240,31/12/2024,200142,SARINGAN MIE,1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,437183.60085
1004.KDRJOY,IA.2024.12.00240,31/12/2024,200182,TIMER DIGITAL,1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,82457.757305
1004.KDRJOY,IA.2024.12.00240,31/12/2024,200158,SEROK ICE,1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,55095.238262
1004.KDRJOY,IA.2024.12.00240,31/12/2024,200108,PANCI MIE,1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,420259.391106
1004.KDRJOY,IA.2024.12.00240,31/12/2024,200043,BOTOL SPRAY,1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,4.0,63365.359408
1004.KDRJOY,IA.2024.12.00240,31/12/2024,200642,PALLET BIRU (DRY),1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,743700.0
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200245,KNOP BOILER/WATER TAP HEAD,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,322654.000134
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200450,TERMOMETER,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,194530.027626
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200347,BASKOM STAINLESS 18 CM,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,60000.008538
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200185,TOPLES UK 4 LTR,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,4.0,87999.994924
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200451,THERMOCOUPLE,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,835502.84292
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200376,HARD COVER MENU DIMSUM,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,4268.91744
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200267,RING F/ PIEZO IGNITER,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,9753.31627
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200157,SEROK BESAR KAWAT,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,40000.0
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200142,SARINGAN MIE,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,18.0,1311550.80255
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200257,PIEZO SPARK PLUG GS,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,167603.945946
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200224,BURNER GS UK 9 NP,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,5618311.394757
1005.SKTMAW,IA.2024.12.00164,31/12/2024,100120,KESET BIHUN GULUNG (POTONGAN),1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,435786.100921
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200218,BALL VALVE 1'',1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,903028.138388
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200237,GAS KNOP DIA 8 MM W,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,422112.08022
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200241,GAS VALVE HIGH PREASURE (CONTROL SE),1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,270000.0
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200242,GAS VALVE HP DOUBLE TURBO,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,558000.0
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200256,PIEZO IGNITER UK 18.MM,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,443416.712172
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200184,TOPLES UK 18 LTR,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,96000.0
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200220,BLACK BUTTON COVER F/ PIEZO IGNITER,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,117172.877555
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200248,LEFT WATER TAP-RIGHT 02303964 (PD.2458E2,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,2266559.843193
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200037,"THERMOCOUPLE 2C 24"" GS 2185 (GRIDLE)",1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,878217.769176
1005.SKTMAW,IA.2024.12.00164,31/12/2024,200609,TERMOGUN,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,249030.938027
1007.PNGDIP,IA.2024.12.00379,31/12/2024,200083,GELAS TEA,1007.1-G.Ponorogo - Diponegoro (PNGDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,20.0,103028.7985
1007.PNGDIP,IA.2024.12.00379,31/12/2024,200166,SPATULA STAINLESS,1007.1-G.Ponorogo - Diponegoro (PNGDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,149997.741894
1007.PNGDIP,IA.2024.12.00379,31/12/2024,200157,SEROK BESAR KAWAT,1007.1-G.Ponorogo - Diponegoro (PNGDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,40000.0
1007.PNGDIP,IA.2024.12.00379,31/12/2024,200139,PRAXIS KEEPER UK 900ML,1007.1-G.Ponorogo - Diponegoro (PNGDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,30000.0
1007.PNGDIP,IA.2024.12.00379,31/12/2024,200325,SEAL PACK 3.5 LTR/3500 ML,1007.1-G.Ponorogo - Diponegoro (PNGDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,100201.4009
1007.PNGDIP,IA.2024.12.00379,31/12/2024,200067,FOOD PAN KECIL,1007.1-G.Ponorogo - Diponegoro (PNGDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,54988.452142
1007.PNGDIP,IA.2024.12.00379,31/12/2024,200184,TOPLES UK 18 LTR,1007.1-G.Ponorogo - Diponegoro (PNGDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,144000.0
1007.PNGDIP,IA.2024.12.00379,31/12/2024,200636,BILL HOLDER,1007.1-G.Ponorogo - Diponegoro (PNGDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,239615.390788
1007.PNGDIP,IA.2024.12.00379,31/12/2024,200043,BOTOL SPRAY,1007.1-G.Ponorogo - Diponegoro (PNGDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,47524.019556
1008.BLTKAL,IA.2024.12.00263,31/12/2024,200450,TERMOMETER,1008.1-G.Blitar - Kalimantan (BLTKAL),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,97265.013813
1008.BLTKAL,IA.2024.12.00263,31/12/2024,200078,GELAS KARYAWAN,1008.1-G.Blitar - Kalimantan (BLTKAL),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,12.0,30761.256996
1008.BLTKAL,IA.2024.12.00263,31/12/2024,200142,SARINGAN MIE,1008.1-G.Blitar - Kalimantan (BLTKAL),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,8.0,582911.4678
1008.BLTKAL,IA.2024.12.00263,31/12/2024,200720,PEMATIK KOMPOR,1008.1-G.Blitar - Kalimantan (BLTKAL),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,35000.0
1008.BLTKAL,IA.2024.12.00263,31/12/2024,200043,BOTOL SPRAY,1008.1-G.Blitar - Kalimantan (BLTKAL),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,31682.679704
1011.JBGURI,IA.2024.12.00128,31/12/2024,200694,KIT REPLACEMENT NEW BURNER FOR NGN 16 MR (9 ROW),1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,1072461.5625
1011.JBGURI,IA.2024.12.00128,31/12/2024,200712,KLAKAT PREMIUM,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,50.0,793394.42515
1011.JBGURI,IA.2024.12.00128,31/12/2024,200245,KNOP BOILER/WATER TAP HEAD,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,107551.333378
1011.JBGURI,IA.2024.12.00128,31/12/2024,200451,THERMOCOUPLE,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,278500.94764
1011.JBGURI,IA.2024.12.00128,31/12/2024,200083,GELAS TEA,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,50.0,257571.99625
1011.JBGURI,IA.2024.12.00128,31/12/2024,200047,CETING TRADISI ( BESAR ),1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,225064.271255
1011.JBGURI,IA.2024.12.00128,31/12/2024,200142,SARINGAN MIE,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,12.0,874367.2017
1011.JBGURI,IA.2024.12.00128,31/12/2024,200224,BURNER GS UK 9 NP,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,3745540.929838
1011.JBGURI,IA.2024.12.00128,31/12/2024,200233,KIT REPLACEMENT GAS VALVE EGFT 6-60 CS.0050K,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,1833976.882352
1011.JBGURI,IA.2024.12.00128,31/12/2024,200072,GAS THERMOSTAT,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,2197506.28
1011.JBGURI,IA.2024.12.00128,31/12/2024,200676,REGULATOR LOW PRESSURE,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,640000.0
1011.JBGURI,IA.2024.12.00128,31/12/2024,200384,KABEL ELEKTRODA,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,323532.298722
1011.JBGURI,IA.2024.12.00128,31/12/2024,200237,GAS KNOP DIA 8 MM W,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,140704.02674
1011.JBGURI,IA.2024.12.00128,31/12/2024,200242,GAS VALVE HP DOUBLE TURBO,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,186000.0
1011.JBGURI,IA.2024.12.00128,31/12/2024,200256,PIEZO IGNITER UK 18.MM,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,147805.570724
1011.JBGURI,IA.2024.12.00128,31/12/2024,200238,GAS KNOP F/JP SERIES,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,117221.622308
1011.JBGURI,IA.2024.12.00128,31/12/2024,200127,PIRING HAWAI BLACK,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,24.0,557142.14376
1011.JBGURI,IA.2024.12.00128,31/12/2024,200220,BLACK BUTTON COVER F/ PIEZO IGNITER,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,46869.151022
1011.JBGURI,IA.2024.12.00128,31/12/2024,200158,SEROK ICE,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,55095.238262
1011.JBGURI,IA.2024.12.00128,31/12/2024,200108,PANCI MIE,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,12.0,840518.782212
1011.JBGURI,IA.2024.12.00128,31/12/2024,200037,"THERMOCOUPLE 2C 24"" GS 2185 (GRIDLE)",1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,146369.628196
1011.JBGURI,IA.2024.12.00128,31/12/2024,200272,SAFETY GAS VALVE WITH INLET BRACKET&SREW,1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,2409666.611538
1013.NGWDIP,IA.2024.12.00146,31/12/2024,200083,GELAS TEA,1013.1-G.Ngawi - Diponegoro (NGWDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,115.0,592415.591375
1013.NGWDIP,IA.2024.12.00146,31/12/2024,200325,SEAL PACK 3.5 LTR/3500 ML,1013.1-G.Ngawi - Diponegoro (NGWDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,100201.4009
1013.NGWDIP,IA.2024.12.00146,31/12/2024,200078,GELAS KARYAWAN,1013.1-G.Ngawi - Diponegoro (NGWDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,15.0,38451.571245
1013.NGWDIP,IA.2024.12.00146,31/12/2024,200108,PANCI MIE,1013.1-G.Ngawi - Diponegoro (NGWDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,420259.391106
1013.NGWDIP,IA.2024.12.00146,31/12/2024,200142,SARINGAN MIE,1013.1-G.Ngawi - Diponegoro (NGWDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,437183.60085
1013.NGWDIP,IA.2024.12.00146,31/12/2024,200329,SEAL PACK DIMSUM,1013.1-G.Ngawi - Diponegoro (NGWDIP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,68077.272726
